iter	Logloss
0	0.6690269798
1	0.6483964473
2	0.6226118178
3	0.6023963169
4	0.5825672858
5	0.5659805894
6	0.5510308011
7	0.5392554028
8	0.5270486464
9	0.5192999672
10	0.5091710466
11	0.5011805878
12	0.4947019082
13	0.4876449472
14	0.4821867687
15	0.4770997129
16	0.4713202432
17	0.4673855561
18	0.4632858376
19	0.4600530602
20	0.4574176551
21	0.4557916472
22	0.4531322603
23	0.4505274292
24	0.4477569912
25	0.4457510097
26	0.4435704421
27	0.4415615881
28	0.4402928752
29	0.4389785492
30	0.4369783446
31	0.4354159755
32	0.4339138415
33	0.4330997126
34	0.4317275183
35	0.4308703875
36	0.4297148156
37	0.4288417189
38	0.4278513616
39	0.4272679203
40	0.4265623091
41	0.4259957846
42	0.4252133564
43	0.424534015
44	0.4238145143
45	0.4232256658
46	0.4225066336
47	0.4223217668
48	0.4220330505
49	0.4215634488
50	0.4211811676
51	0.4206419624
52	0.420193671
53	0.4198493849
54	0.4195580704
55	0.4191529046
56	0.4187853101
57	0.4183989862
58	0.418256583
59	0.4179457588
60	0.4175829972
61	0.4173048201
62	0.4170911615
63	0.4169618962
64	0.4165687756
65	0.4159850429
66	0.4157003931
67	0.4154560549
68	0.4153493722
69	0.415067026
70	0.4149622278
71	0.414439209
72	0.4143838412
73	0.4142537842
74	0.4141207526
75	0.4139560249
76	0.4136589001
77	0.4132356595
78	0.4130005427
79	0.4129843447
80	0.412705898
81	0.4123692892
82	0.4122448989
83	0.4122087373
84	0.4120014842
85	0.4116988275
86	0.4114294464
87	0.4113146957
88	0.4110596376
89	0.41079124
90	0.4105740201
91	0.4103828244
92	0.4103082242
93	0.4102083396
94	0.4100922793
95	0.4100070606
96	0.409963173
97	0.4098359627
98	0.4096913822
99	0.4094987101
100	0.4094848843
101	0.4092753663
102	0.4092209554
103	0.4091736802
104	0.4091207379
105	0.4090519187
106	0.4089898424
107	0.4089888058
108	0.4088226316
109	0.4086635515
110	0.4086081263
111	0.4084421068
112	0.4084009728
113	0.4083009957
114	0.4082327381
115	0.4080980059
116	0.4080528621
117	0.4079339768
118	0.4078997179
119	0.4077325389
120	0.4075746128
121	0.40754801
